#onokad	O=0.9999865293502808|NORM=1.2970642274012789e-05
"	O=0.9999724626541138|NORM=2.6053367037093267e-05
.	O=0.9999895095825195|NORM=8.127751243591774e-06

i	O=0.9999791383743286|NORM=2.0584533558576368e-05
sutra	O=0.9999160766601562|NORM=8.353486919077113e-05
ovako	O=0.9999138116836548|NORM=8.58569037518464e-05
.	O=0.9999903440475464|NORM=7.221583928185282e-06

prošli	O=0.9999680519104004|NORM=3.1494415452471e-05
su	O=0.999974250793457|NORM=2.546916584833525e-05
izbori	O=0.999984860420227|NORM=1.4694091987621505e-05
za	O=0.9999771118164062|NORM=2.2472366254078224e-05
naše	O=0.9978542923927307|NORM=0.0021383604034781456
žpv	O=0.994125485420227|NORM=0.005871319677680731
.	O=0.9999908208847046|NORM=7.2676562012929935e-06

u	O=0.9999892711639404|NORM=1.0405756256659515e-05
potrazi	O=0.9998763799667358|NORM=0.00012237801274750382
za	O=0.9999775886535645|NORM=2.185100493079517e-05
hrvatskom	O=0.9956490397453308|NORM=0.00434838654473424
riječju	O=0.9986481070518494|NORM=0.0013507462572306395
za	O=0.99992835521698|NORM=7.083996752044186e-05
‘	O=0.9999334812164307|NORM=6.592241697944701e-05
selfie	O=0.9963468909263611|NORM=0.003647226607427001
’	O=0.9998786449432373|NORM=0.00012076260463800281
najčešće	O=0.9999450445175171|NORM=5.380811126087792e-05
se	O=0.9999892711639404|NORM=1.0481699064257555e-05
spominje	O=0.9999630451202393|NORM=3.657396518974565e-05
–	O=0.999931812286377|NORM=6.736871000612155e-05
‘	O=0.9999716281890869|NORM=2.757553374976851e-05
sebić	O=0.9943333864212036|NORM=0.005634853150695562
'	O=0.9998090863227844|NORM=0.00018982017354574054
...	O=0.9999731779098511|NORM=2.4779717932688072e-05

@dobrilado	O=0.9999865293502808|NORM=1.1880983038281556e-05
da	O=0.999613344669342|NORM=0.0003858925774693489
:(	O=0.9999518394470215|NORM=4.016980165033601e-05

@ruzina	O=0.9999868869781494|NORM=1.2848774531448726e-05
@automaniahr	O=0.9999921321868896|NORM=7.613696197950048e-06
upratio	O=0.9997045397758484|NORM=0.00029472471214830875
.	O=0.9999912977218628|NORM=7.613391971972305e-06

tako	O=0.9999666213989258|NORM=3.314546120236628e-05
je	O=0.9999768733978271|NORM=2.2982494556345046e-05
to	O=0.9999783039093018|NORM=2.0805498934350908e-05
kad	O=0.9999902248382568|NORM=9.103063348447904e-06
voliš	O=0.9999430179595947|NORM=5.570703069679439e-05
čovjeka	O=0.9999821186065674|NORM=1.6804067854536697e-05
od	O=0.9999682903289795|NORM=3.130791810690425e-05
2	O=0.9978932738304138|NORM=0.002025572583079338
metra	O=0.9999178647994995|NORM=8.138838165905327e-05
!	O=0.9999871253967285|NORM=9.784366739040706e-06

and	O=0.9999898672103882|NORM=9.200171916745603e-06
the	O=0.999930739402771|NORM=6.555535219376907e-05
weird	O=0.9988293051719666|NORM=0.0011673115659505129
list	O=0.9996702671051025|NORM=0.0003239048528485
goes	O=0.9999772310256958|NORM=2.1660656784661114e-05
on	O=0.999911904335022|NORM=8.627171337138861e-05
...	O=0.9999837875366211|NORM=1.381728179694619e-05

jok	O=0.9981929659843445|NORM=0.001806527958251536
deca	NORM=0.9983599781990051|O=0.0016316806431859732
nad	NORM=0.5709167122840881|O=0.42904672026634216
cim	NORM=0.999800980091095|O=0.00017406282131560147
vi	O=0.9999243021011353|NORM=7.531113806180656e-05
kukate	O=0.9991763234138489|NORM=0.0008228791411966085
?	O=0.9999852180480957|NORM=1.2795317161362618e-05

pak	O=0.9994531273841858|NORM=0.0005460313404910266
je	O=0.9999555349349976|NORM=4.399961107992567e-05
velik	O=0.9999560117721558|NORM=4.355654527898878e-05
ko	NORM=0.9987779259681702|O=0.0011954200454056263
šupak	O=0.9994874000549316|NORM=0.0005089780897833407
i	O=0.9999868869781494|NORM=1.2865781172877178e-05
masu	O=0.9989144802093506|NORM=0.0010848450474441051
likova	O=0.9999444484710693|NORM=5.516411329153925e-05
kliže	O=0.9999734163284302|NORM=2.6112022169400007e-05
.	O=0.9999902248382568|NORM=8.428372893831693e-06

@ancica	O=0.999982476234436|NORM=1.7185253454954363e-05
i	O=0.9999866485595703|NORM=1.3039714758633636e-05
to	O=0.9999617338180542|NORM=3.686126001412049e-05
je	O=0.9999773502349854|NORM=2.2592192181036808e-05
jedan	O=0.9999406337738037|NORM=5.887464067200199e-05
od	O=0.9999097585678101|NORM=8.973113290267065e-05
nacina	NORM=0.9966957569122314|O=0.0032868897542357445
...	O=0.9999750852584839|NORM=2.3788303224137053e-05

@kratkevijesti	O=0.9999926090240479|NORM=7.064302735670935e-06
@lepoticadana	O=0.9999911785125732|NORM=8.538832844351418e-06
odlično	O=0.9997149109840393|NORM=0.00028345073224045336
!	O=0.9999885559082031|NORM=9.26482243812643e-06

rt	O=0.9998770952224731|NORM=0.00012251811858732253
@kvaju	O=0.9999781847000122|NORM=2.1469517378136516e-05
:	O=0.9999803304672241|NORM=1.569714913784992e-05
"	O=0.9999942779541016|NORM=5.088370926387142e-06
evo	O=0.9999854564666748|NORM=1.4307505807664711e-05
savjeta	O=0.999902606010437|NORM=9.685622353572398e-05
za	O=0.9999808073043823|NORM=1.8728826034930535e-05
solo	O=0.9904126524925232|NORM=0.009525385685265064
ženske	O=0.9997724890708923|NORM=0.00022616198111791164
:	O=0.9999843835830688|NORM=1.4304774595075287e-05
izdepilirajte	O=0.9998378753662109|NORM=0.00016122942906804383
samo	O=0.9999713897705078|NORM=2.7435269657871686e-05
jednu	O=0.9999622106552124|NORM=3.668537101475522e-05
nogu	O=0.9999489784240723|NORM=5.013598274672404e-05
,	O=0.9999818801879883|NORM=1.5396648450405337e-05
pa	O=0.9999632835388184|NORM=3.617104812292382e-05
kad	O=0.9999792575836182|NORM=2.010447315115016e-05
legnete	O=0.9956963062286377|NORM=0.004301372449845076
spavati	O=0.9989805817604065|NORM=0.0010181296383962035
imat	O=0.9956846237182617|NORM=0.00431365380063653
ćete	O=0.999861478805542|NORM=0.00013797941210214049
osjećaj	O=0.9999548196792603|NORM=4.395638461573981e-05
da	O=0.9999700784683228|NORM=2.952119211840909e-05
ležite	O=0.9997132420539856|NORM=0.00028552982257679105
pored	O=0.9999258518218994|NORM=7.347397331614047e-05
momka	O=0.999929666519165|NORM=6.949546514078975e-05
...	O=0.9999804496765137|NORM=1.816802796383854e-05
