language,stage,old_count,new_count,old_err,new_err,delta_err,old_f1,new_f1,delta_f1,old_precision,new_precision,delta_precision,old_recall,new_recall,delta_recall
hr,llm_source,883,807,0.3703703703703703,0.4093023255813954,0.038931955211025104,0.6524938675388389,0.6649076517150395,0.012413784176200648,0.5141752577319587,0.5294117647058824,0.015236506973923647,0.8926174496644296,0.8936170212765957,0.000999571612166128
hr,overall_final,18941,18941,0.47890671420083253,0.4884135472370767,0.009506833036244167,0.687344028520499,0.6865671641791046,-0.0007768643413944565,0.7093451066961001,0.7287480680061824,0.019402961310082345,0.6666666666666666,0.6490020646937371,-0.017664601972929517
id,detector,4306,4306,0.9363150218765192,0.9363150218765192,0.0,0.9680409856062454,0.9680409856062454,0.0,0.9715964740450539,0.9715964740450539,0.0,0.9645114244044726,0.9645114244044726,0.0
id,dictionary_source,1142,1142,0.993859649122807,0.993859649122807,0.0,0.9969257795344751,0.9969257795344751,0.0,0.9938704028021016,0.9938704028021016,0.0,1.0,1.0,0.0
id,llm_source,900,900,0.18720379146919433,0.21208530805687204,0.024881516587677704,0.36715867158671583,0.38822447102115915,0.02106579943444331,0.36380255941499084,0.40344168260038243,0.03963912318539159,0.37057728119180633,0.374113475177305,0.003536193985498648
id,overall_final,4306,4306,0.6276130286825474,0.6378220709771513,0.010209042294603843,0.77693651718113,0.7832411987198139,0.0063046815386839095,0.7898164594434577,0.8084084084084084,0.018591948964950755,0.7644699140401147,0.7595936794582393,-0.0048762345818753605
iden,detector,4809,4809,0.7128205128205132,0.6905982905982909,-0.022222222222222254,0.8556701030927835,0.8490408673894912,-0.006629235703292213,0.8601036269430051,0.8289902280130294,-0.031113398929975777,0.8512820512820513,0.8700854700854701,0.018803418803418848
iden,dictionary_source,391,394,0.9180327868852459,0.9186991869918699,0.0006664001066239988,0.9601063829787234,0.9604221635883905,0.0003157806096670823,0.9232736572890026,0.9238578680203046,0.0005842107313019929,1.0,1.0,0.0
iden,llm_source,188,220,0.12121212121212123,-0.12857142857142861,-0.24978354978354983,0.5396825396825397,0.4148148148148149,-0.12486772486772474,0.3695652173913043,0.26540284360189575,-0.10416237378940857,1.0,0.9491525423728814,-0.05084745762711862
iden,overall_final,4809,4809,0.6017094017094022,0.5487179487179485,-0.05299145299145369,0.7864344637946838,0.7608695652173914,-0.025564898577292494,0.7460869565217392,0.6942148760330579,-0.051872080488681305,0.8313953488372093,0.8416833667334669,0.01028801789625755
ja,detector,10919,10919,0.6017569546120062,0.6588579795021964,0.0571010248901902,0.7951807228915663,0.8206312548113935,0.02545053191982727,0.8186046511627907,0.8652597402597403,0.0466550890969496,0.7730600292825769,0.780380673499268,0.007320644216691097
ja,dictionary_source,95,95,0.8426966292134831,0.8461538461538461,0.0034572169403630504,0.9204545454545454,0.9204545454545454,0.0,0.8526315789473684,0.8526315789473684,0.0,1.0,1.0,0.0
ja,llm_source,550,521,0.052391799544419124,0.08823529411764709,0.03584349457322797,0.31125827814569534,0.3087478559176673,-0.002510422228028053,0.23039215686274508,0.23136246786632392,0.0009703110035788332,0.47959183673469385,0.4639175257731959,-0.01567431096149796
ja,overall_final,10919,10919,0.1434846266471463,0.16983894582723288,0.02635431918008657,0.37433155080213903,0.37623762376237624,0.001906072960237204,0.34791252485089463,0.35330578512396693,0.005393260273072298,0.4050925925925926,0.4023529411764706,-0.0027396514161220353
ko,detector,1880,1880,0.34337349397590305,0.3313253012048196,-0.012048192771083432,0.6517571884984025,0.5992779783393503,-0.052479210159052214,0.6938775510204082,0.7477477477477478,0.053870196727339614,0.6144578313253012,0.5,-0.11445783132530118
ko,dictionary_source,22,18,0.8,0.823529411764706,0.02352941176470591,0.9,0.9090909090909091,0.009090909090909038,0.8181818181818182,0.8333333333333334,0.015151515151515138,1.0,1.0,0.0
ko,llm_source,125,93,-0.3780487804878048,-0.3636363636363636,0.014412416851441234,0.09599999999999999,0.0,-0.09599999999999999,0.05357142857142857,0.0,-0.05357142857142857,0.46153846153846156,0.0,-0.46153846153846156
ko,overall_final,1880,1880,-0.09036144578313252,-0.060240963855422096,0.03012048192771042,0.20960698689956334,0.14563106796116504,-0.0639759189383983,0.1791044776119403,0.14563106796116504,-0.03347340965077525,0.25263157894736843,0.14563106796116504,-0.10700051098620339
nl,detector,3863,3863,0.685269899359561,0.6633119853613907,-0.021957913998170264,0.8375826251180359,0.8264150943396227,-0.01116753077841326,0.8653658536585366,0.8529698149951315,-0.012396038663405107,0.8115279048490394,0.8014638609332113,-0.010064043915828047
nl,dictionary_source,279,282,0.8475836431226765,0.8314606741573034,-0.01612296896537313,0.9206963249516441,0.9132947976878613,-0.007401527263782848,0.8530465949820788,0.8404255319148937,-0.012621063067185134,1.0,1.0,0.0
nl,llm_source,746,745,0.3122977346278317,0.29064039408867,-0.02165734053916174,0.578790882061447,0.5582822085889569,-0.02050867347249008,0.4287812041116006,0.4155251141552511,-0.01325608995634947,0.8902439024390244,0.8504672897196262,-0.03977661271939825
nl,overall_final,3863,3863,0.385178408051235,0.3650503202195789,-0.020128087831656094,0.6120092378752887,0.5950991831971996,-0.016910054678089148,0.5520833333333334,0.5431309904153354,-0.008952342917997957,0.6865284974093264,0.6580645161290323,-0.02846398128029415
sl,detector,15311,15311,0.7599330823923045,0.7599330823923045,0.0,0.878286683630195,0.878286683630195,0.0,0.890752688172043,0.890752688172043,0.0,0.8661647846089502,0.8661647846089502,0.0
sl,dictionary_source,1147,1147,0.9647266313932981,0.9647266313932981,0.0,0.9822537710736468,0.9822537710736468,0.0,0.96512641673932,0.96512641673932,0.0,1.0,1.0,0.0
sl,llm_source,1178,1178,0.22625400213447175,0.21451440768409819,-0.011739594450373564,0.5130960376091337,0.5020297699594046,-0.011066267649729067,0.366954851104707,0.3581081081081081,-0.008846742996598878,0.8526785714285714,0.8393665158371041,-0.013312055591467309
sl,overall_final,15311,15311,0.5462149728147216,0.5416143872856546,-0.004600585529067058,0.7329559438838297,0.7295162882527148,-0.003439655631114924,0.6805301645338209,0.6770499312872195,-0.003480233246601405,0.7941333333333334,0.7907972177635099,-0.0033361155698234946
sr,detector,17796,17796,0.6928728875826596,0.7016899338721533,0.008817046289493646,0.835303388494878,0.8445635528330782,0.009260164338200205,0.9005947323704333,0.8816946442845723,-0.018900088085860967,0.7788390889052168,0.8104335047759,0.031594415870683235
sr,dictionary_source,593,601,0.9707903780068728,0.9659284497444635,-0.004861928262409387,0.9854576561163387,0.9830795262267343,-0.0023781298896043968,0.9713322091062394,0.9667221297836939,-0.004610079322545535,1.0,1.0,0.0
sr,llm_source,584,650,0.42468619246861916,0.4108527131782945,-0.013833479290324635,0.6666666666666666,0.6591928251121076,-0.007473841554558991,0.5434782608695652,0.5536723163841808,0.010194055514615608,0.8620689655172413,0.814404432132964,-0.04766453338427734
sr,overall_final,17796,17796,0.5642909625275527,0.5723732549595879,0.008082292432035176,0.7416122004357298,0.7504288164665524,0.00881661603082251,0.7743403093721565,0.7729681978798587,-0.0013721114922977673,0.7115384615384616,0.7291666666666666,0.017628205128205066
th,detector,19872,19872,0.4732824427480908,0.43384223918575177,-0.039440203562339016,0.7322121604139715,0.7365304914150385,0.004318331001066933,0.7447368421052631,0.6888150609080842,-0.055921781197178944,0.7201017811704835,0.7913486005089059,0.07124681933842236
th,dictionary_source,257,265,0.8723404255319148,0.8535564853556485,-0.01878394017626628,0.9380165289256198,0.9292929292929293,-0.008723599632690537,0.8832684824902723,0.8679245283018868,-0.015343954188385522,1.0,1.0,0.0
th,llm_source,503,638,-0.04833836858006036,-0.1853785900783289,-0.13704022149826856,0.3182711198428291,0.2972136222910217,-0.021057497551807358,0.2727272727272727,0.24870466321243523,-0.02402260951483748,0.38207547169811323,0.36923076923076925,-0.012844702467343982
th,overall_final,19872,19872,0.2404580152671759,0.1692111959287532,-0.0712468193384227,0.5078318219291014,0.4996168582375479,-0.008214963691553445,0.555956678700361,0.500768049155146,-0.055188629545215084,0.4673748103186646,0.4984709480122324,0.031096137693567782
vi,detector,13651,13651,0.8771683075480545,0.8879512423816224,0.010782934833567848,0.9376190476190477,0.9435921642671702,0.005973116648122501,0.9525882922109338,0.9500950570342205,-0.002493235176713293,0.9231129864041256,0.9371776840131271,0.01406469760900142
vi,dictionary_source,1332,1337,0.9612167300380228,0.9606060606060606,-0.0006106694319621964,0.9804822043628014,0.9801678108314265,-0.00031439353137496795,0.9617117117117117,0.9611069558713538,-0.0006047558403579067,1.0,1.0,0.0
vi,llm_source,735,767,0.28593272171253825,0.2974963181148748,0.011563596402336562,0.5220061412487206,0.5309734513274337,0.008967310078713098,0.3669064748201439,0.379746835443038,0.01284036062289412,0.9042553191489362,0.8823529411764706,-0.021902377972465636
vi,overall_final,13651,13651,0.6802625410220348,0.689170182841069,0.008907641819034251,0.8183271177410761,0.8242777630532734,0.005950645312197245,0.7577701036013813,0.75927734375,0.0015072401486186937,0.8894035900405327,0.9014492753623189,0.012045685321786181
